STATE,COUNTY,GRASS PLANTINGS INTROD(CP1),GRASS PLANTINGS NATIVE (CP2),TREE PLANTINGS SOFTWOODS (CP3),TREE PLANTINGS LONGLEAF PINE (CP3A),TREE PLANTINGS HARDWOODS (CP3A),WILDLIFE HABITAT (CP4D),WILDLIFE CORRIDORS (CP4B),"FIELD
WINDBREAKS
(CP5)","DIVERSIONS
& EROSION
CONTROL
STRUC.
(CP6&CP7)","GRASS
WATERWAYS
(CP8)","SHALLOW
WATER FOR
WILDLIFE
(CP9)","EXISTING
GRASS
(CP10)","EXISTING
TREES
(CP11)","WILDLIFE
FOOD
PLOTS
(CP12)","CONTOUR
GRASS
STRIPS
(CP15)","SHELTER-
BELTS
(CP16)","LIVING
SNOW
FENCES
(CP17)","SALINITY
REDUCING
VEGETATION
(CP18)","FILTER-
STRIPS
(CP21)","RIPARIAN
BUFFERS
3/
(CP22)",WETLAND RESTORATION (CP23) ,WETLAND RESTORATION FLOODPLAIN (CP23) ,WETLAND RESTORATION NON-FLOODPLAIN (CP23A),"CROSS
WIND TRAP
STRIPS
(CP24)","RARE AND
DECLINING
HABITAT
(CP25)","FARMABLE WETLAND
PROGRAM 6 WETLAND (CP27)","FARMABLE WETLAND
PROGRAM BUFFER (CP28)","MARGINAL PASTURE
BUFFERS WILDLIFE (CP29)","MARGINAL PASTURE
BUFFERS WETLAND (CP30)","BOTTOMLAND
HARDWOOD
TREES
(CP31)","UPLAND
BIRD
HABITAT
BUFFERS
(CP33)","LONGLEAF
PINE
(CP36)","DUCK
NESTING
HABITAT
(CP37)","STATE
ACRES FOR
WILDLIFE
ENHANCEMENT
(CP38)",FARMABLE WETLAND PROGRAM CONSTRUCTED WETLANDS (CP39),FARMABLE WETLAND PROGRAM AQUACULTURE WETLANDS (CP40),FARMABLE WETLAND PROGRAM FLOODED PRAIRIE WETLANDS (CP41) ,"POLLINATOR
HABITAT 8/
(CP42)","PRAIRIE STRIPS
(CP43)","CRP
GRASSLANDS - 
INTRODUCED
GRASSES
(CP87)","CRP
GRASSLANDS - 
NATIVE
GRASSES
(CP88)","SOIL HEALTH PERRENIAL CONSERV. COVER
(CP90)",TOTAL
ALABAMA,TALLAPOOSA,,,51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,185
ALABAMA,TUSCALOOSA,,,201,18,0,,,,,,,,,2,,,,,,37,,,,,,,,,,,,21,,,,,,,,,,,279
ALABAMA,WALKER,,,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
ALABAMA,WASHINGTON,,,12,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,26
ALABAMA,WILCOX,,,"1,255",166,0,113,,,,,,,,,,,,,,970,,,,,,,,44,,202,35,419,,36,,,,,,,263,,"3,504"
ALABAMA,WINSTON,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,62
ALASKA,MATANUSKA-SUSITNA,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
ALASKA,SOUTHEAST FAIRBANKS (DELTA COUNTY),"4,329","7,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,,,,"12,449"
ARIZONA,APACHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,597",,"5,597"
ARIZONA,COCHISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,825",,"27,825"
ARIZONA,GRAHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,704",,"3,704"
ARIZONA,SANTA CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,579",,"19,579"
ARKANSAS,ARKANSAS,99,501,629,0,"1,298",,,,,,22,,,11,,,,,76,356,,"1,634","12,402",,,,,,,553,253,,,,,,,,,,147,,"17,980"
ARKANSAS,ASHLEY,,,"1,140",0,135,7,,,,,75,,,2,,,,,68,860,,"3,078",395,,,,,,,780,,,,64,,,,,,,,,"6,605"
ARKANSAS,BAXTER,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
ARKANSAS,BENTON,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,11
ARKANSAS,BOONE,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,12
ARKANSAS,BRADLEY,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,53
ARKANSAS,CALHOUN,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,36
ARKANSAS,CARROLL,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,71
ARKANSAS,CHICOT,,,471,0,738,,,,,,7,,,,,,,,80,"2,203",,"3,746","5,567",,,,0,,,361,,,,126,,837,,,,,,,"14,135"
ARKANSAS,CLARK,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,87,,,,,,,,,,,,,243
ARKANSAS,CLAY,768,77,0,0,70,,,,,,,,,,,,,,603,351,,61,,,,,,,,,264,,,772,,,,,,,,,"2,966"
ARKANSAS,CLEBURNE,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,43
ARKANSAS,CLEVELAND,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,37
ARKANSAS,CONWAY,,,97,0,0,,,,,,10,,,,,,,,,28,,61,,,,,,,,,,,,,,,,,,,,,196
ARKANSAS,CRAIGHEAD,63,,17,0,60,,,,,,,,,,,,,,25,87,,476,92,,,,,,,52,26,,,491,,,,,,,,,"1,388"
ARKANSAS,CRITTENDEN,,,,,,,,,,,20,,,,,,,,112,"2,378",,"1,994","1,157",,,,,,,207,156,,,313,,,,16,,,,,"6,352"
ARKANSAS,CROSS,73,283,0,0,601,48,,,,,12,,187,10,,,,,204,"3,685",20,"2,292","2,368",,,,,7,288,150,491,,,171,,,,,,,,,"10,890"
ARKANSAS,DALLAS,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,205
ARKANSAS,DESHA,,,63,0,982,32,,,,,6,,,9,,,,,242,"1,652",,"2,351",593,,,,,,,"1,230",160,,,,,,,,,,,,"7,320"
ARKANSAS,DREW,,,302,0,391,,,,,,,,,,,,,,9,651,,762,95,,,,0,,,412,,,,,,409,,,,,245,,"3,276"
ARKANSAS,FAULKNER,106,,87,0,0,,,,,,,,,10,,,,,,365,,36,,,,,,,,,,,,22,,,,,,,,,626
ARKANSAS,FRANKLIN,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,102
ARKANSAS,FULTON,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
ARKANSAS,GREENE,237,56,272,0,18,59,,,,,,,,,,,,,254,125,,51,,,,,,,,,2,,,713,,,,3,,,,,"1,790"
ARKANSAS,HEMPSTEAD,,,,,,,,,,,,,,,,,,,,115,,187,,,,,,,,,,,,,,,,,,,,,302
ARKANSAS,HOT SPRING,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,14
ARKANSAS,INDEPENDENCE,13,,374,0,472,,,,,,,,,10,,,,,56,276,,"2,310",,,,,,16,,102,23,,,156,,,,,,,,,"3,807"
ARKANSAS,JACKSON,,333,,,,,,,,,14,,,,,,,,100,"3,052",,"2,277","1,781",,,,,,,"1,334",408,,,"2,701",,,,,,,,,"12,001"
ARKANSAS,JEFFERSON,,,141,0,0,,,,,,104,,,,,,,,572,"9,368",,"6,170","3,554",,,,,39,,"3,621",86,,,186,,,,,,,,,"23,841"
ARKANSAS,JOHNSON,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,31
ARKANSAS,LAWRENCE,15,,44,0,0,,,,,,,,,,,,,,,"1,750",,513,47,,,,,,,24,64,,,134,,,,,,,,,"2,590"
ARKANSAS,LEE,,37,67,0,4,49,,,,,,,,,,,,,,273,,291,,,,,,,,"1,222",,,,61,,,,,,,,,"2,004"
ARKANSAS,LINCOLN,,,265,0,"1,071",,,,,,24,,,5,,,,,46,"1,794",,602,64,,,,0,,,"2,656",64,,,,,388,,,,,98,,"7,077"
ARKANSAS,LITTLE RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,81
ARKANSAS,LONOKE,138,200,622,0,871,261,,,,,10,,,16,,,,,9,"2,318",,"1,379","1,943",,,,0,,,85,30,,,,,166,,,,,117,,"8,164"
ARKANSAS,MILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,87,,,,,,,,,,,,386
ARKANSAS,MISSISSIPPI,,,0,0,161,,,,,,,,,,,,,,45,183,,54,70,,,,,,,75,,,,,,,,,,,,,588
ARKANSAS,MONROE,,190,151,0,150,,,,,,,,,,,,,,28,12,,"1,030",904,,,,,,149,626,106,,,,,,,,,,,,"3,346"
ARKANSAS,MONTGOMERY,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
ARKANSAS,NEVADA,,,121,0,0,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,148
ARKANSAS,PERRY,,,,,,,,,,,,,,,,,,,,"1,215",,,,,,,,,,,,,,,,,,,,,,,"1,215"
ARKANSAS,PHILLIPS,11,,21,0,84,,,,,,,,,5,,,,,82,594,,476,374,,,,,,,250,31,,,104,,,,,,,,,"2,032"
ARKANSAS,POINSETT,,,67,0,0,,,,,,40,,,,,,,,589,512,,367,71,,,,0,,,199,259,,,9,,12,,,,,,,"2,125"
ARKANSAS,POPE,,,,,,,,,,,,,,,,,,,,"1,075",,,,,,,,,,150,,,,,,,,,,,,,"1,225"
ARKANSAS,PRAIRIE,,929,"1,027",0,"1,058",236,,,,,,,,38,,,,,68,229,,"3,014",912,,,,0,,"2,127",285,,,,"1,429",,146,,4,,,,,"11,503"
ARKANSAS,PULASKI,,,18,0,613,,5,,,,,,,3,,,,,,322,,885,411,,,,,,,11,9,,,,,,,,,,,,"2,278"
ARKANSAS,RANDOLPH,,,0,0,8,,,,,,,,,,,,,,,66,,,,,,,,6,,35,,,,104,,,,,,,,,219
ARKANSAS,ST. FRANCIS,57,295,171,0,78,46,,,,,50,,,,,,,,104,522,,944,954,,,,,,,476,283,,,518,,,,,,,,,"4,498"
ARKANSAS,SCOTT,,,,,,,,,,,,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,323
ARKANSAS,SHARP,,,,,,,,,,,,,,,,,,,,39,,,,,,,,16,,,,,,,,,,,,,,,55
ARKANSAS,WASHINGTON,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,52
ARKANSAS,WHITE,,22,663,0,"1,072",17,,,,,8,,,10,,,,,11,528,,"8,722",266,,,,,40,,550,78,,,488,,,,,,,,,"12,474"
ARKANSAS,WOODRUFF,,552,330,0,521,51,,,,,11,,,,,,,,48,744,,"3,241",703,,,,,,,,20,,,537,,,,,,,60,,"6,818"
ARKANSAS,YELL,,,,,,,,,,,,,,,,,,,,"3,364",,,,,,,,,2,603,,,,131,,,,,,,,,"4,099"
CALIFORNIA,COLUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,225
CALIFORNIA,HUMBOLDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,189,,283
CALIFORNIA,KERN,"1,386",,,,,"2,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,"4,187"
CALIFORNIA,LASSEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,,917
CALIFORNIA,LOS ANGELES,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
CALIFORNIA,MADERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,,335
CALIFORNIA,MARIPOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,787",,"2,787"
CALIFORNIA,MENDOCINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,200
CALIFORNIA,MERCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,"18,325",,"19,079"
CALIFORNIA,MONO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,054",,"1,054"
CALIFORNIA,MONTEREY,"3,985",,,,,"3,074",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,393",,"12,462"
CALIFORNIA,SAN BENITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,643",,"1,643"
CALIFORNIA,SAN LUIS OBISPO,"5,526",,,,,"6,711",,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,076",,"25,327"
CALIFORNIA,SISKIYOU,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,49
CALIFORNIA,STANISLAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,928",,"7,928"
CALIFORNIA,SUTTER,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000",,"2,642"
CALIFORNIA,TEHAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,625
CALIFORNIA,YOLO,517,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528
COLORADO,ADAMS,227,"17,381",,,,,,,,51,,,,4,,2,,,18,,,,,,,,,,,,,,,,,,,,,,"7,048",,"24,732"
COLORADO,ALAMOSA,,"4,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,899"
COLORADO,ARAPAHOE,87,"6,521",,,,,,11,,,,,,,,,,,,28,,,,,,,,,,,,,,375,,,,,,,367,,"7,390"
COLORADO,BACA,,"134,372",,,,"68,262",,,,10,,,,,,,,,,,,,,,,,,,,,869,,,"13,139",,,,547,,164,"137,116",,"354,479"
COLORADO,BENT,,"18,412",,,,"4,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,511",,"86,075"
COLORADO,BOULDER,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,73
COLORADO,CHEYENNE,,"2,053",,,,"51,871",,5,,5,,,,,,,,,,,,,,,,,,,,,,,,"20,346",,,,,,,"59,415",,"133,695"
COLORADO,CROWLEY,590,"13,895",,,,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,557",,"59,966"
COLORADO,CUSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,428",,"2,428"
COLORADO,DOLORES,"6,401",880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,211",,,,43,,23,"1,918",,"12,477"
COLORADO,DOUGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,184
COLORADO,ELBERT,950,"9,410",,,,"3,644",,29,,5,,,,,,4,,,,,,,,,,,,,,,,,,"10,536",,,,83,,,"33,246",,"57,906"
COLORADO,EL PASO,,"2,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,610",,,,27,,,"22,516",,"26,712"
COLORADO,FREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,117
COLORADO,HUERFANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,268",,"19,268"
COLORADO,JACKSON,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,878,,905
COLORADO,KIOWA,,"116,749",,,,"7,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,819",,,,,,,"105,596",,"236,273"
COLORADO,KIT CARSON,"2,958","21,675",,,,"28,686",,,,,,,,5,,,,,,,,,151,,190,,,,,,123,,,"5,059",,,,63,,631,"111,403",,"170,944"
COLORADO,LA PLATA,554,"1,089",,,,"1,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,,192,"1,668",,"5,702"
COLORADO,LARIMER,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,044",,"1,496"
COLORADO,LAS ANIMAS,,"9,601",,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,112",,"136,856"
COLORADO,LINCOLN,"2,104","52,004",,,,"19,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,84,,,"158,257",,"232,607"
COLORADO,LOGAN,"6,578","24,901",,,,"4,992",,193,,10,,,,5,,117,,,,2,,,95,,,,,,,,63,,,"8,150",,,,907,,9,"36,041",,"82,064"
COLORADO,MOFFAT,"3,912",80,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,,,,,,"10,405",,"14,978"
COLORADO,MONTEZUMA,650,849,,,,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,231,,256,"5,480",,"8,572"
COLORADO,MORGAN,"3,279","24,674",,,,"1,074",,3,,,,,,9,,2,,,,,26,,,,,,,,,,16,,,,,,,,,,"18,180",,"47,263"
COLORADO,OTERO,,"1,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,232",,"45,253"
COLORADO,PHILLIPS,"2,031","4,585",,,,"1,463",,121,,26,,,,4,,"1,162",,,22,125,,,346,,133,34,127,,,,104,,,"3,538",,,,"2,387",,,"3,816",,"20,023"
COLORADO,PROWERS,,"68,970",,,,"31,908",,,,,,,,,,,,,,,,,,,142,,,,,,,,,"4,123",,,,,,,"55,377",,"160,519"
COLORADO,PUEBLO,,"26,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,365",,"72,768"
COLORADO,RIO BLANCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,073",,"2,073"
